X--Trace 1::[I(Q4_A[IC])],Y--Trace 1::[I(Q4_A[IC])],X--Trace 2::[I(Q4_A[IB])],Y--Trace 2::[I(Q4_A[IB])]
2e-005,5.64709e-006,2e-005,4.16446e-007
2.1e-005,6.33256e-006,2.1e-005,4.63837e-007
2.2e-005,7.05626e-006,2.2e-005,5.13642e-007
2.3e-005,7.81785e-006,2.3e-005,5.65836e-007
2.4e-005,8.61718e-006,2.4e-005,6.20406e-007
2.5e-005,9.454e-006,2.5e-005,6.77333e-007
2.6e-005,1.0328e-005,2.6e-005,7.36598e-007
2.7e-005,1.12391e-005,2.7e-005,7.98182e-007
2.8e-005,1.21868e-005,2.8e-005,8.62066e-007
2.9e-005,1.3171e-005,2.9e-005,9.2823e-007
3e-005,1.41913e-005,3e-005,9.96655e-007
3.1e-005,1.52475e-005,3.1e-005,1.06732e-006
3.2e-005,1.63393e-005,3.2e-005,1.14021e-006
3.3e-005,1.74663e-005,3.3e-005,1.21529e-006
3.4e-005,1.86283e-005,3.4e-005,1.29255e-006
3.5e-005,1.98249e-005,3.5e-005,1.37198e-006
3.6e-005,2.10559e-005,3.6e-005,1.45354e-006
3.7e-005,2.23209e-005,3.7e-005,1.53721e-006
3.8e-005,2.36196e-005,3.8e-005,1.62298e-006
3.9e-005,2.49517e-005,3.9e-005,1.71082e-006
4e-005,2.63168e-005,4e-005,1.80072e-006
4.1e-005,2.77146e-005,4.1e-005,1.89264e-006
4.2e-005,2.91447e-005,4.2e-005,1.98657e-006
4.3e-005,3.06069e-005,4.3e-005,2.08248e-006
4.4e-005,3.21007e-005,4.4e-005,2.18036e-006
4.5e-005,3.36259e-005,4.5e-005,2.28018e-006
4.6e-005,3.51821e-005,4.6e-005,2.38192e-006
4.7e-005,3.67689e-005,4.7e-005,2.48555e-006
4.8e-005,3.83859e-005,4.8e-005,2.59106e-006
4.9e-005,4.00329e-005,4.9e-005,2.69842e-006
5e-005,4.17095e-005,5e-005,2.80761e-006
5.1e-005,4.34153e-005,5.1e-005,2.91861e-006
5.2e-005,4.515e-005,5.2e-005,3.03139e-006
5.3e-005,4.69132e-005,5.3e-005,3.14594e-006
5.4e-005,4.87046e-005,5.4e-005,3.26222e-006
5.5e-005,5.05238e-005,5.5e-005,3.38023e-006
5.6e-005,5.23705e-005,5.6e-005,3.49993e-006
5.7e-005,5.42443e-005,5.7e-005,3.62131e-006
5.8e-005,5.61449e-005,5.8e-005,3.74434e-006
5.9e-005,5.80719e-005,5.9e-005,3.869e-006
6e-005,6.0025e-005,6e-005,3.99528e-006
6.1e-005,6.20039e-005,6.1e-005,4.12314e-006
6.2e-005,6.40081e-005,6.2e-005,4.25257e-006
6.3e-005,6.60374e-005,6.3e-005,4.38354e-006
6.4e-005,6.80914e-005,6.4e-005,4.51604e-006
6.5e-005,7.01698e-005,6.5e-005,4.65005e-006
6.6e-005,7.22722e-005,6.6e-005,4.78553e-006
6.7e-005,7.43984e-005,6.7e-005,4.92249e-006
6.8e-005,7.65479e-005,6.8e-005,5.06088e-006
6.9e-005,7.87205e-005,6.9e-005,5.2007e-006
7e-005,8.09158e-005,7e-005,5.34191e-006
7.1e-005,8.31336e-005,7.1e-005,5.48452e-006
7.2e-005,8.53734e-005,7.2e-005,5.62848e-006
7.3e-005,8.7635e-005,7.3e-005,5.77379e-006
7.4e-005,8.99181e-005,7.4e-005,5.92042e-006
7.5e-005,9.22224e-005,7.5e-005,6.06836e-006
7.6e-005,9.45475e-005,7.6e-005,6.21759e-006
7.7e-005,9.68931e-005,7.7e-005,6.36808e-006
7.8e-005,9.9259e-005,7.8e-005,6.51982e-006
7.9e-005,0.000101645,7.9e-005,6.6728e-006
8e-005,0.00010405,8e-005,6.82698e-006
8.1e-005,0.000106475,8.1e-005,6.98237e-006
8.2e-005,0.000108919,8.2e-005,7.13893e-006
8.3e-005,0.000111382,8.3e-005,7.29665e-006
8.4e-005,0.000113863,8.4e-005,7.45552e-006
8.5e-005,0.000116363,8.5e-005,7.61552e-006
8.6e-005,0.00011888,8.6e-005,7.77662e-006
8.7e-005,0.000121416,8.7e-005,7.93882e-006
8.8e-005,0.000123968,8.8e-005,8.1021e-006
8.9e-005,0.000126538,8.9e-005,8.26643e-006
9e-005,0.000129125,9e-005,8.43182e-006
9.1e-005,0.000131728,9.1e-005,8.59823e-006
9.2e-005,0.000134348,9.2e-005,8.76566e-006
9.3e-005,0.000136984,9.3e-005,8.93409e-006
9.4e-005,0.000139636,9.4e-005,9.10351e-006
9.5e-005,0.000142304,9.5e-005,9.2739e-006
9.6e-005,0.000144987,9.6e-005,9.44524e-006
9.7e-005,0.000147685,9.7e-005,9.61752e-006
9.8e-005,0.000150398,9.8e-005,9.79073e-006
9.9e-005,0.000153126,9.9e-005,9.96486e-006
0.0001,0.000155869,0.0001,1.01399e-005
