x-axis,1,2
second,Volt,Volt
-8.140000E+00,+587.360E-03,+4.939855E+00
-8.131200E+00,+589.229E-03,+4.939855E+00
-8.122400E+00,+586.922E-03,+4.939855E+00
-8.113600E+00,+589.209E-03,+4.939855E+00
-8.104800E+00,+586.689E-03,+4.938046E+00
-8.096000E+00,+588.928E-03,+4.939855E+00
-8.087200E+00,+586.057E-03,+4.934830E+00
-8.078400E+00,+588.345E-03,+4.940458E+00
-8.069600E+00,+586.094E-03,+4.934830E+00
-8.060800E+00,+588.160E-03,+4.939855E+00
-8.052000E+00,+586.094E-03,+4.936840E+00
-8.043200E+00,+587.641E-03,+4.938649E+00
-8.034400E+00,+586.849E-03,+4.935232E+00
-8.025600E+00,+587.593E-03,+4.939855E+00
-8.016800E+00,+587.657E-03,+4.934830E+00
-8.008000E+00,+587.259E-03,+4.934830E+00
-7.999200E+00,+588.413E-03,+4.939855E+00
-7.990400E+00,+587.103E-03,+4.936237E+00
-7.981600E+00,+588.980E-03,+4.939855E+00
-7.972800E+00,+587.066E-03,+4.935031E+00
-7.964000E+00,+589.491E-03,+4.939855E+00
-7.955200E+00,+586.359E-03,+4.934830E+00
-7.946400E+00,+589.085E-03,+4.939855E+00
-7.937600E+00,+586.266E-03,+4.934830E+00
-7.928800E+00,+588.538E-03,+4.939855E+00
-7.920000E+00,+585.752E-03,+4.934830E+00
-7.911200E+00,+588.357E-03,+4.939855E+00
-7.902400E+00,+586.234E-03,+4.934830E+00
-7.893600E+00,+587.999E-03,+4.937242E+00
-7.884800E+00,+586.741E-03,+4.936639E+00
-7.876000E+00,+587.822E-03,+4.938850E+00
-7.867200E+00,+587.243E-03,+4.935031E+00
-7.858400E+00,+587.834E-03,-24.366E-03
-7.849600E+00,+589.109E-03,-21.351E-03
-7.840800E+00,+588.397E-03,-22.758E-03
-7.832000E+00,+589.993E-03,-19.943E-03
-7.823200E+00,+587.999E-03,-24.969E-03
-7.814400E+00,+590.612E-03,-19.943E-03
-7.805600E+00,+587.734E-03,-24.969E-03
-7.796800E+00,+590.600E-03,-19.943E-03
-7.788000E+00,+587.742E-03,-24.969E-03
-7.779200E+00,+590.403E-03,-19.943E-03
-7.770400E+00,+587.400E-03,-24.969E-03
-7.761600E+00,+590.178E-03,-20.546E-03
-7.752800E+00,+587.665E-03,-24.969E-03
-7.744000E+00,+589.832E-03,-23.964E-03
-7.735200E+00,+588.268E-03,-24.969E-03
-7.726400E+00,+589.631E-03,-22.356E-03
-7.717600E+00,+589.076E-03,-23.361E-03
