x-axis,F1
Hertz,dBV
+70.8000E+00,-68.76208E+00
+71.2000E+00,-68.30333E+00
+71.6000E+00,-67.84457E+00
+72.0000E+00,-67.38582E+00
+72.4000E+00,-66.92707E+00
+72.8000E+00,-67.89010E+00
+73.2000E+00,-69.20440E+00
+73.6000E+00,-70.51870E+00
+74.0000E+00,-71.83301E+00
+74.4000E+00,-73.14731E+00
+74.8000E+00,-74.46162E+00
+75.2000E+00,-75.77592E+00
+75.6000E+00,-77.09022E+00
+76.0000E+00,-78.40453E+00
+76.4000E+00,-79.10069E+00
+76.8000E+00,-78.08361E+00
+77.2000E+00,-77.06652E+00
+77.6000E+00,-76.04943E+00
+78.0000E+00,-75.03234E+00
+78.4000E+00,-74.01525E+00
+78.8000E+00,-72.99817E+00
+79.2000E+00,-71.98108E+00
+79.6000E+00,-70.96399E+00
+80.0000E+00,-69.94690E+00
+80.4000E+00,-70.77436E+00
+80.8000E+00,-72.28963E+00
+81.2000E+00,-73.80489E+00
+81.6000E+00,-75.32015E+00
+82.0000E+00,-76.83542E+00
+82.4000E+00,-78.35068E+00
+82.8000E+00,-79.86595E+00
+83.2000E+00,-81.38121E+00
+83.6000E+00,-82.89647E+00
+84.0000E+00,-83.86047E+00
+84.4000E+00,-82.49932E+00
+84.8000E+00,-81.13817E+00
+85.2000E+00,-79.77702E+00
+85.6000E+00,-78.41586E+00
+86.0000E+00,-77.05471E+00
+86.4000E+00,-75.69356E+00
+86.8000E+00,-74.33241E+00
+87.2000E+00,-72.97126E+00
+87.6000E+00,-71.61010E+00
+88.0000E+00,-72.51868E+00
+88.4000E+00,-74.62326E+00
+88.8000E+00,-76.72783E+00
+89.2000E+00,-78.83241E+00
+89.6000E+00,-80.93699E+00
+90.0000E+00,-83.04156E+00
+90.4000E+00,-85.14614E+00
+90.8000E+00,-87.25071E+00
+91.2000E+00,-89.35529E+00
+91.6000E+00,-90.98609E+00
+92.0000E+00,-89.08120E+00
+92.4000E+00,-87.17630E+00
