x-axis,F1
Hertz,dBV
+0.0E+00,-53.37671E+00
+400.0E-03,-53.42048E+00
+800.0E-03,-53.46426E+00
+1.2000E+00,-53.50804E+00
+1.6000E+00,-53.55181E+00
+2.0000E+00,-53.59559E+00
+2.4000E+00,-53.63936E+00
+2.8000E+00,-53.68314E+00
+3.2000E+00,-53.72692E+00
+3.6000E+00,-53.77069E+00
+4.0000E+00,-53.81447E+00
+4.4000E+00,-53.85824E+00
+4.8000E+00,-53.90202E+00
+5.2000E+00,-53.94580E+00
+5.6000E+00,-53.98957E+00
+6.0000E+00,-54.03335E+00
+6.4000E+00,-54.07712E+00
+6.8000E+00,-54.12090E+00
+7.2000E+00,-54.16468E+00
+7.6000E+00,-54.20845E+00
+8.0000E+00,-54.25685E+00
+8.4000E+00,-54.30562E+00
+8.8000E+00,-54.35439E+00
+9.2000E+00,-54.40316E+00
+9.6000E+00,-54.45193E+00
+10.0000E+00,-54.50069E+00
+10.4000E+00,-54.54946E+00
+10.8000E+00,-54.59823E+00
+11.2000E+00,-54.64700E+00
+11.6000E+00,-54.69577E+00
+12.0000E+00,-54.74453E+00
+12.4000E+00,-54.79330E+00
+12.8000E+00,-54.84207E+00
+13.2000E+00,-54.89084E+00
+13.6000E+00,-54.93961E+00
+14.0000E+00,-54.98837E+00
+14.4000E+00,-55.03714E+00
+14.8000E+00,-55.08591E+00
+15.2000E+00,-55.13468E+00
+15.6000E+00,-55.15975E+00
+16.0000E+00,-55.18074E+00
+16.4000E+00,-55.20174E+00
+16.8000E+00,-55.22273E+00
+17.2000E+00,-55.24372E+00
+17.6000E+00,-55.26471E+00
+18.0000E+00,-55.28570E+00
+18.4000E+00,-55.30670E+00
+18.8000E+00,-55.32769E+00
+19.2000E+00,-55.34868E+00
+19.6000E+00,-55.36967E+00
+20.0000E+00,-55.39066E+00
+20.4000E+00,-55.41166E+00
+20.8000E+00,-55.43265E+00
+21.2000E+00,-55.45364E+00
+21.6000E+00,-55.47463E+00
+22.0000E+00,-55.49562E+00
+22.4000E+00,-55.51662E+00
+22.8000E+00,-55.53761E+00
+23.2000E+00,-56.35725E+00
+23.6000E+00,-57.40275E+00
+24.0000E+00,-58.44826E+00
+24.4000E+00,-59.49376E+00
+24.8000E+00,-60.53927E+00
+25.2000E+00,-61.58477E+00
+25.6000E+00,-62.63027E+00
+26.0000E+00,-63.67578E+00
+26.4000E+00,-64.72128E+00
+26.8000E+00,-65.76679E+00
+27.2000E+00,-66.81229E+00
+27.6000E+00,-67.85779E+00
+28.0000E+00,-68.90330E+00
+28.4000E+00,-69.94880E+00
+28.8000E+00,-70.99431E+00
+29.2000E+00,-72.03981E+00
+29.6000E+00,-73.08531E+00
+30.0000E+00,-74.13082E+00
+30.4000E+00,-75.17632E+00
+30.8000E+00,-74.84731E+00
+31.2000E+00,-73.94606E+00
+31.6000E+00,-73.04482E+00
+32.0000E+00,-72.14357E+00
+32.4000E+00,-71.24232E+00
+32.8000E+00,-70.34107E+00
+33.2000E+00,-69.43982E+00
+33.6000E+00,-68.53858E+00
+34.0000E+00,-67.63733E+00
+34.4000E+00,-66.73608E+00
+34.8000E+00,-65.83483E+00
+35.2000E+00,-64.93358E+00
+35.6000E+00,-64.03234E+00
+36.0000E+00,-63.13109E+00
+36.4000E+00,-62.22984E+00
+36.8000E+00,-61.32859E+00
+37.2000E+00,-60.42734E+00
+37.6000E+00,-59.52610E+00
+38.0000E+00,-58.62485E+00
+38.4000E+00,-58.41143E+00
+38.8000E+00,-58.59754E+00
+39.2000E+00,-58.78365E+00
+39.6000E+00,-58.96977E+00
+40.0000E+00,-59.15588E+00
+40.4000E+00,-59.34199E+00
+40.8000E+00,-59.52810E+00
+41.2000E+00,-59.71421E+00
+41.6000E+00,-59.90033E+00
+42.0000E+00,-60.08644E+00
+42.4000E+00,-60.27255E+00
+42.8000E+00,-60.45866E+00
+43.2000E+00,-60.64477E+00
+43.6000E+00,-60.83089E+00
+44.0000E+00,-61.01700E+00
+44.4000E+00,-61.20311E+00
+44.8000E+00,-61.38922E+00
+45.2000E+00,-61.57533E+00
+45.6000E+00,-61.76145E+00
+46.0000E+00,-61.78282E+00
+46.4000E+00,-61.67428E+00
+46.8000E+00,-61.56573E+00
+47.2000E+00,-61.45719E+00
+47.6000E+00,-61.34864E+00
+48.0000E+00,-61.24010E+00
+48.4000E+00,-61.13156E+00
+48.8000E+00,-61.02301E+00
+49.2000E+00,-60.91447E+00
+49.6000E+00,-60.80592E+00
+50.0000E+00,-60.69738E+00
+50.4000E+00,-60.58884E+00
+50.8000E+00,-60.48029E+00
+51.2000E+00,-60.37175E+00
+51.6000E+00,-60.26320E+00
+52.0000E+00,-60.15466E+00
+52.4000E+00,-60.04612E+00
+52.8000E+00,-59.93757E+00
+53.2000E+00,-59.82903E+00
+53.6000E+00,-60.12531E+00
+54.0000E+00,-60.85043E+00
+54.4000E+00,-61.57555E+00
+54.8000E+00,-62.30067E+00
+55.2000E+00,-63.02579E+00
+55.6000E+00,-63.75091E+00
+56.0000E+00,-64.47603E+00
+56.4000E+00,-65.20115E+00
+56.8000E+00,-65.92627E+00
+57.2000E+00,-66.65139E+00
+57.6000E+00,-67.37651E+00
+58.0000E+00,-68.10163E+00
+58.4000E+00,-68.82675E+00
+58.8000E+00,-69.55187E+00
+59.2000E+00,-70.27699E+00
+59.6000E+00,-71.00211E+00
+60.0000E+00,-71.72723E+00
+60.4000E+00,-72.45235E+00
+60.8000E+00,-73.17747E+00
+61.2000E+00,-73.39060E+00
+61.6000E+00,-72.87335E+00
+62.0000E+00,-72.35610E+00
+62.4000E+00,-71.83885E+00
+62.8000E+00,-71.32161E+00
+63.2000E+00,-70.80436E+00
+63.6000E+00,-70.28711E+00
+64.0000E+00,-69.76986E+00
+64.4000E+00,-69.25261E+00
+64.8000E+00,-68.73537E+00
+65.2000E+00,-68.21812E+00
+65.6000E+00,-67.70087E+00
+66.0000E+00,-67.18362E+00
+66.4000E+00,-66.66637E+00
+66.8000E+00,-66.14913E+00
+67.2000E+00,-65.63188E+00
+67.6000E+00,-65.11463E+00
+68.0000E+00,-64.59738E+00
+68.4000E+00,-64.08013E+00
+68.8000E+00,-63.86911E+00
+69.2000E+00,-64.25618E+00
+69.6000E+00,-64.64325E+00
+70.0000E+00,-65.03032E+00
+70.4000E+00,-65.41740E+00
+70.8000E+00,-65.80447E+00
+71.2000E+00,-66.19154E+00
+71.6000E+00,-66.57861E+00
+72.0000E+00,-66.96568E+00
+72.4000E+00,-67.35276E+00
+72.8000E+00,-67.73983E+00
+73.2000E+00,-68.12690E+00
+73.6000E+00,-68.51397E+00
+74.0000E+00,-68.90104E+00
+74.4000E+00,-69.28812E+00
+74.8000E+00,-69.67519E+00
+75.2000E+00,-70.06226E+00
+75.6000E+00,-70.44933E+00
+76.0000E+00,-70.83640E+00
+76.4000E+00,-71.05040E+00
+76.8000E+00,-70.78467E+00
+77.2000E+00,-70.51894E+00
+77.6000E+00,-70.25321E+00
+78.0000E+00,-69.98748E+00
+78.4000E+00,-69.72176E+00
+78.8000E+00,-69.45603E+00
+79.2000E+00,-69.19030E+00
+79.6000E+00,-68.92457E+00
+80.0000E+00,-68.65884E+00
+80.4000E+00,-68.39312E+00
+80.8000E+00,-68.12739E+00
+81.2000E+00,-67.86166E+00
+81.6000E+00,-67.59593E+00
+82.0000E+00,-67.33020E+00
+82.4000E+00,-67.06448E+00
+82.8000E+00,-66.79875E+00
+83.2000E+00,-66.53302E+00
+83.6000E+00,-66.26729E+00
+84.0000E+00,-66.06927E+00
+84.4000E+00,-66.15682E+00
+84.8000E+00,-66.24437E+00
+85.2000E+00,-66.33193E+00
+85.6000E+00,-66.41948E+00
+86.0000E+00,-66.50703E+00
+86.4000E+00,-66.59458E+00
+86.8000E+00,-66.68213E+00
+87.2000E+00,-66.76969E+00
+87.6000E+00,-66.85724E+00
+88.0000E+00,-66.94479E+00
+88.4000E+00,-67.03234E+00
+88.8000E+00,-67.11989E+00
+89.2000E+00,-67.20745E+00
+89.6000E+00,-67.29500E+00
+90.0000E+00,-67.38255E+00
+90.4000E+00,-67.47010E+00
+90.8000E+00,-67.55765E+00
+91.2000E+00,-67.64521E+00
+91.6000E+00,-67.73524E+00
+92.0000E+00,-67.84378E+00
+92.4000E+00,-67.95233E+00
+92.8000E+00,-68.06087E+00
+93.2000E+00,-68.16941E+00
+93.6000E+00,-68.27796E+00
+94.0000E+00,-68.38650E+00
+94.4000E+00,-68.49505E+00
+94.8000E+00,-68.60359E+00
+95.2000E+00,-68.71213E+00
+95.6000E+00,-68.82068E+00
+96.0000E+00,-68.92922E+00
+96.4000E+00,-69.03777E+00
+96.8000E+00,-69.14631E+00
+97.2000E+00,-69.25485E+00
+97.6000E+00,-69.36340E+00
+98.0000E+00,-69.47194E+00
+98.4000E+00,-69.58049E+00
+98.8000E+00,-69.68903E+00
+99.2000E+00,-69.78972E+00
+99.6000E+00,-69.72252E+00
+100.0000E+00,-69.65532E+00
+100.4000E+00,-69.58812E+00
+100.8000E+00,-69.52092E+00
+101.2000E+00,-69.45372E+00
+101.6000E+00,-69.38652E+00
+102.0000E+00,-69.31932E+00
+102.4000E+00,-69.25212E+00
+102.8000E+00,-69.18492E+00
+103.2000E+00,-69.11772E+00
+103.6000E+00,-69.05052E+00
+104.0000E+00,-68.98332E+00
+104.4000E+00,-68.91612E+00
+104.8000E+00,-68.84892E+00
+105.2000E+00,-68.78172E+00
+105.6000E+00,-68.71452E+00
+106.0000E+00,-68.64732E+00
+106.4000E+00,-68.58012E+00
+106.8000E+00,-68.51292E+00
+107.2000E+00,-68.39662E+00
+107.6000E+00,-68.27886E+00
+108.0000E+00,-68.16110E+00
+108.4000E+00,-68.04334E+00
+108.8000E+00,-67.92558E+00
+109.2000E+00,-67.80782E+00
+109.6000E+00,-67.69006E+00
+110.0000E+00,-67.57230E+00
+110.4000E+00,-67.45454E+00
+110.8000E+00,-67.33678E+00
+111.2000E+00,-67.21902E+00
+111.6000E+00,-67.10126E+00
+112.0000E+00,-66.98350E+00
+112.4000E+00,-66.86574E+00
+112.8000E+00,-66.74798E+00
+113.2000E+00,-66.63022E+00
+113.6000E+00,-66.51246E+00
+114.0000E+00,-66.39470E+00
+114.4000E+00,-66.27694E+00
+114.8000E+00,-66.52447E+00
+115.2000E+00,-66.81362E+00
+115.6000E+00,-67.10277E+00
+116.0000E+00,-67.39192E+00
+116.4000E+00,-67.68107E+00
+116.8000E+00,-67.97023E+00
+117.2000E+00,-68.25938E+00
+117.6000E+00,-68.54853E+00
+118.0000E+00,-68.83768E+00
+118.4000E+00,-69.12683E+00
+118.8000E+00,-69.41599E+00
+119.2000E+00,-69.70514E+00
+119.6000E+00,-69.99429E+00
+120.0000E+00,-70.28344E+00
+120.4000E+00,-70.57259E+00
+120.8000E+00,-70.86175E+00
+121.2000E+00,-71.15090E+00
+121.6000E+00,-71.44005E+00
+122.0000E+00,-71.72920E+00
+122.4000E+00,-71.40297E+00
+122.8000E+00,-70.94550E+00
+123.2000E+00,-70.48803E+00
+123.6000E+00,-70.03056E+00
+124.0000E+00,-69.57308E+00
+124.4000E+00,-69.11561E+00
+124.8000E+00,-68.65814E+00
+125.2000E+00,-68.20067E+00
+125.6000E+00,-67.74320E+00
+126.0000E+00,-67.28572E+00
+126.4000E+00,-66.82825E+00
+126.8000E+00,-66.37078E+00
+127.2000E+00,-65.91331E+00
+127.6000E+00,-65.45584E+00
+128.0000E+00,-64.99836E+00
+128.4000E+00,-64.54089E+00
+128.8000E+00,-64.08342E+00
+129.2000E+00,-63.62595E+00
+129.6000E+00,-63.16848E+00
+130.0000E+00,-63.39048E+00
+130.4000E+00,-63.83810E+00
+130.8000E+00,-64.28572E+00
+131.2000E+00,-64.73333E+00
+131.6000E+00,-65.18095E+00
+132.0000E+00,-65.62856E+00
+132.4000E+00,-66.07618E+00
+132.8000E+00,-66.52380E+00
+133.2000E+00,-66.97141E+00
+133.6000E+00,-67.41903E+00
+134.0000E+00,-67.86664E+00
+134.4000E+00,-68.31426E+00
+134.8000E+00,-68.76188E+00
+135.2000E+00,-69.20949E+00
+135.6000E+00,-69.65711E+00
+136.0000E+00,-70.10472E+00
+136.4000E+00,-70.55234E+00
+136.8000E+00,-70.99996E+00
+137.2000E+00,-71.44757E+00
+137.6000E+00,-71.30190E+00
+138.0000E+00,-70.87348E+00
+138.4000E+00,-70.44507E+00
+138.8000E+00,-70.01665E+00
+139.2000E+00,-69.58823E+00
+139.6000E+00,-69.15982E+00
+140.0000E+00,-68.73140E+00
+140.4000E+00,-68.30299E+00
+140.8000E+00,-67.87457E+00
+141.2000E+00,-67.44615E+00
+141.6000E+00,-67.01774E+00
+142.0000E+00,-66.58932E+00
+142.4000E+00,-66.16091E+00
+142.8000E+00,-65.73249E+00
+143.2000E+00,-65.30407E+00
+143.6000E+00,-64.87566E+00
+144.0000E+00,-64.44724E+00
+144.4000E+00,-64.01883E+00
+144.8000E+00,-63.59041E+00
+145.2000E+00,-63.72398E+00
+145.6000E+00,-64.22638E+00
+146.0000E+00,-64.72878E+00
+146.4000E+00,-65.23118E+00
+146.8000E+00,-65.73358E+00
+147.2000E+00,-66.23598E+00
+147.6000E+00,-66.73838E+00
+148.0000E+00,-67.24078E+00
+148.4000E+00,-67.74318E+00
+148.8000E+00,-68.24558E+00
+149.2000E+00,-68.74798E+00
+149.6000E+00,-69.25038E+00
+150.0000E+00,-69.75278E+00
+150.4000E+00,-70.25518E+00
+150.8000E+00,-70.75758E+00
+151.2000E+00,-71.25998E+00
+151.6000E+00,-71.76238E+00
+152.0000E+00,-72.26478E+00
