X--Trace 1::[I(Q3[IC])],Y--Trace 1::[I(Q3[IC])]
3,9.99692e-005
3.01,9.99692e-005
3.02,9.99693e-005
3.03,9.99693e-005
3.04,9.99694e-005
3.05,9.99694e-005
3.06,9.99695e-005
3.07,9.99696e-005
3.08,9.99696e-005
3.09,9.99697e-005
3.1,9.99697e-005
3.11,9.99698e-005
3.12,9.99698e-005
3.13,9.99699e-005
3.14,9.997e-005
3.15,9.997e-005
3.16,9.99701e-005
3.17,9.99701e-005
3.18,9.99702e-005
3.19,9.99702e-005
3.2,9.99703e-005
3.21,9.99704e-005
3.22,9.99704e-005
3.23,9.99705e-005
3.24,9.99705e-005
3.25,9.99706e-005
3.26,9.99706e-005
3.27,9.99707e-005
3.28,9.99708e-005
3.29,9.99708e-005
3.3,9.99709e-005
3.31,9.99709e-005
3.32,9.9971e-005
3.33,9.9971e-005
3.34,9.99711e-005
3.35,9.99712e-005
3.36,9.99712e-005
3.37,9.99713e-005
3.38,9.99713e-005
3.39,9.99714e-005
3.4,9.99714e-005
3.41,9.99715e-005
3.42,9.99716e-005
3.43,9.99716e-005
3.44,9.99717e-005
3.45,9.99717e-005
3.46,9.99718e-005
3.47,9.99718e-005
3.48,9.99719e-005
3.49,9.99719e-005
3.5,9.9972e-005
3.51,9.99721e-005
3.52,9.99721e-005
3.53,9.99722e-005
3.54,9.99722e-005
3.55,9.99723e-005
3.56,9.99723e-005
3.57,9.99724e-005
3.58,9.99725e-005
3.59,9.99725e-005
3.6,9.99726e-005
3.61,9.99726e-005
3.62,9.99727e-005
3.63,9.99727e-005
3.64,9.99728e-005
3.65,9.99729e-005
3.66,9.99729e-005
3.67,9.9973e-005
3.68,9.9973e-005
3.69,9.99731e-005
3.7,9.99731e-005
3.71,9.99732e-005
3.72,9.99732e-005
3.73,9.99733e-005
3.74,9.99734e-005
3.75,9.99734e-005
3.76,9.99735e-005
3.77,9.99735e-005
3.78,9.99736e-005
3.79,9.99736e-005
3.8,9.99737e-005
3.81,9.99737e-005
3.82,9.99738e-005
3.83,9.99739e-005
3.84,9.99739e-005
3.85,9.9974e-005
3.86,9.9974e-005
3.87,9.99741e-005
3.88,9.99741e-005
3.89,9.99742e-005
3.9,9.99743e-005
3.91,9.99743e-005
3.92,9.99744e-005
3.93,9.99744e-005
3.94,9.99745e-005
3.95,9.99745e-005
3.96,9.99746e-005
3.97,9.99746e-005
3.98,9.99747e-005
3.99,9.99748e-005
4,9.99748e-005
4.01,9.99749e-005
4.02,9.99749e-005
4.03,9.9975e-005
4.04,9.9975e-005
4.05,9.99751e-005
4.06,9.99751e-005
4.07,9.99752e-005
4.08,9.99753e-005
4.09,9.99753e-005
4.1,9.99754e-005
4.11,9.99754e-005
4.12,9.99755e-005
4.13,9.99755e-005
4.14,9.99756e-005
4.15,9.99756e-005
4.16,9.99757e-005
4.17,9.99758e-005
4.18,9.99758e-005
4.19,9.99759e-005
4.2,9.99759e-005
4.21,9.9976e-005
4.22,9.9976e-005
4.23,9.99761e-005
4.24,9.99761e-005
4.25,9.99762e-005
4.26,9.99763e-005
4.27,9.99763e-005
4.28,9.99764e-005
4.29,9.99764e-005
4.3,9.99765e-005
4.31,9.99765e-005
4.32,9.99766e-005
4.33,9.99766e-005
4.34,9.99767e-005
4.35,9.99768e-005
4.36,9.99768e-005
4.37,9.99769e-005
4.38,9.99769e-005
4.39,9.9977e-005
4.4,9.9977e-005
4.41,9.99771e-005
4.42,9.99771e-005
4.43,9.99772e-005
