X--Trace 1::[I(Q2[IC])],Y--Trace 1::[I(Q2[IC])]
0.029,0.000361597
0.0291,0.000362123
0.0292,0.000362649
0.0293,0.000363175
0.0294,0.000363702
0.0295,0.000364229
0.0296,0.000364756
0.0297,0.000365284
0.0298,0.000365811
0.0299,0.000366339
0.03,0.000366867
0.0301,0.000367396
0.0302,0.000367925
0.0303,0.000368454
0.0304,0.000368983
0.0305,0.000369513
0.0306,0.000370043
0.0307,0.000370573
0.0308,0.000371103
0.0309,0.000371634
0.031,0.000372165
0.0311,0.000372696
0.0312,0.000373228
0.0313,0.00037376
0.0314,0.000374292
0.0315,0.000374824
0.0316,0.000375357
0.0317,0.00037589
0.0318,0.000376423
0.0319,0.000376956
0.032,0.00037749
0.0321,0.000378024
0.0322,0.000378558
0.0323,0.000379093
0.0324,0.000379628
0.0325,0.000380163
0.0326,0.000380698
0.0327,0.000381234
0.0328,0.000381769
0.0329,0.000382306
0.033,0.000382842
0.0331,0.000383379
0.0332,0.000383915
0.0333,0.000384453
0.0334,0.00038499
0.0335,0.000385528
0.0336,0.000386066
0.0337,0.000386604
0.0338,0.000387143
0.0339,0.000387681
0.034,0.00038822
0.0341,0.00038876
0.0342,0.000389299
0.0343,0.000389839
0.0344,0.000390379
0.0345,0.000390919
0.0346,0.00039146
0.0347,0.000392001
0.0348,0.000392542
0.0349,0.000393083
0.035,0.000393625
0.0351,0.000394167
0.0352,0.000394709
0.0353,0.000395251
0.0354,0.000395794
0.0355,0.000396337
0.0356,0.00039688
0.0357,0.000397423
0.0358,0.000397967
0.0359,0.000398511
0.036,0.000399055
0.0361,0.000399599
0.0362,0.000400144
0.0363,0.000400689
0.0364,0.000401234
0.0365,0.00040178
0.0366,0.000402325
0.0367,0.000402871
0.0368,0.000403417
0.0369,0.000403964
0.037,0.000404511
0.0371,0.000405057
0.0372,0.000405605
0.0373,0.000406152
0.0374,0.0004067
0.0375,0.000407248
0.0376,0.000407796
0.0377,0.000408344
0.0378,0.000408893
0.0379,0.000409442
0.038,0.000409991
0.0381,0.000410541
0.0382,0.00041109
0.0383,0.00041164
0.0384,0.00041219
0.0385,0.000412741
0.0386,0.000413291
0.0387,0.000413842
0.0388,0.000414393
0.0389,0.000414945
0.039,0.000415496
0.0391,0.000416048
0.0392,0.0004166
0.0393,0.000417153
0.0394,0.000417705
0.0395,0.000418258
0.0396,0.000418811
0.0397,0.000419364
0.0398,0.000419918
0.0399,0.000420472
0.04,0.000421026
0.0401,0.00042158
0.0402,0.000422134
0.0403,0.000422689
0.0404,0.000423244
0.0405,0.000423799
0.0406,0.000424354
0.0407,0.00042491
0.0408,0.000425465
0.0409,0.00042602
0.041,0.000426576
0.0411,0.000427131
0.0412,0.000427685
0.0413,0.000428239
0.0414,0.000428791
0.0415,0.000429342
0.0416,0.000429889
0.0417,0.000430431
0.0418,0.000430967
0.0419,0.000431493
0.042,0.000432007
0.0421,0.000432503
0.0422,0.000432977
0.0423,0.000433426
0.0424,0.000433844
0.0425,0.00043423
0.0426,0.000434582
0.0427,0.000434902
0.0428,0.000435192
0.0429,0.000435453
0.043,0.00043569
0.0431,0.000435905
0.0432,0.0004361
0.0433,0.000436278
0.0434,0.000436442
0.0435,0.000436592
0.0436,0.000436731
0.0437,0.00043686
0.0438,0.00043698
0.0439,0.000437092
0.044,0.000437197
0.0441,0.000437296
0.0442,0.000437389
0.0443,0.000437477
0.0444,0.00043756
0.0445,0.000437639
0.0446,0.000437715
0.0447,0.000437786
0.0448,0.000437855
0.0449,0.00043792
0.045,0.000437983
0.0451,0.000438043
0.0452,0.000438101
0.0453,0.000438157
0.0454,0.00043821
