"X--Trace 1::[V(vc1), Temperature=10]","Y--Trace 1::[V(vc1), Temperature=10]",,"X--Trace 2::[V(ve), Temperature=10]","Y--Trace 2::[V(ve), Temperature=10]",,"X--Trace 3::[V(vc1), Temperature=27]","Y--Trace 3::[V(vc1), Temperature=27]",,"X--Trace 4::[V(ve), Temperature=27]","Y--Trace 4::[V(ve), Temperature=27]",,"X--Trace 5::[V(vc1), Temperature=60]","Y--Trace 5::[V(vc1), Temperature=60]",,"X--Trace 6::[V(ve), Temperature=60]","Y--Trace 6::[V(ve), Temperature=60]"
0.00087759,4.98594,,0.00087759,-0.0983596,,0.000822635,4.97697,,0.000822635,-0.126948,,0.00093571,1.6305,,0.00093571,-0.0555856
0.00090759,4.96706,,0.00090759,-0.0775769,,0.000852635,4.96058,,0.000852635,-0.113021,,0.00096571,0.192225,,0.00096571,-0.0302341
0.00093759,4.91404,,0.00093759,-0.0540459,,0.000882635,4.92143,,0.000882635,-0.0950899,,0.00098161,0.170526,,0.00098161,-0.0163045
0.00096759,4.76034,,0.00096759,-0.0286003,,0.000912635,4.82273,,0.000912635,-0.0737905,,0.000990477,0.163571,,0.000990477,-0.00845692
0.00099759,4.32407,,0.00099759,-0.0021416,,0.000942635,4.56461,,0.000942635,-0.049877,,0.00100026,0.157377,,0.00100026,0.000227281
0.00102759,3.20928,,0.00102759,0.024393,,0.000972635,3.89758,,0.000972635,-0.0241967,,0.00101981,0.148205,,0.00101981,0.0175603
0.00105759,0.87726,,0.00105759,0.0500635,,0.00100263,2.33443,,0.00100263,0.00234088,,0.00104981,0.138736,,0.00104981,0.0435439
0.00107218,0.177582,,0.00107218,0.0619612,,0.00103263,0.189667,,0.00103263,0.0287955,,0.00107981,0.132328,,0.00107981,0.067985
0.00108021,0.161142,,0.00108021,0.0682958,,0.00105029,0.158009,,0.00105029,0.04395,,0.00110981,0.12778,,0.00110981,0.0900176
0.00108586,0.154729,,0.00108586,0.0726456,,0.00106158,0.149651,,0.00106158,0.0533628,,0.00113981,0.124523,,0.00113981,0.108861
0.00109238,0.148944,,0.00109238,0.0775577,,0.00107221,0.143643,,0.00107221,0.0619871,,0.00116981,0.122229,,0.00116981,0.123849
0.00110543,0.140747,,0.00110543,0.0869828,,0.00109348,0.135258,,0.00109348,0.0783687,,0.00119981,0.120765,,0.00119981,0.134448
0.00113153,0.130836,,0.00113153,0.10402,,0.00112348,0.127782,,0.00112348,0.0990394,,0.00122981,0.120004,,0.00122981,0.140285
0.00116153,0.124372,,0.00116153,0.120131,,0.00115348,0.123071,,0.00115348,0.116202,,0.00125981,0.119894,,0.00125981,0.141153
0.00119153,0.120626,,0.00119153,0.131986,,0.00118348,0.120082,,0.00118348,0.129247,,0.00128981,0.12043,,0.00128981,0.137019
0.00122153,0.118648,,0.00122153,0.139165,,0.00121348,0.11835,,0.00121348,0.137714,,0.00131981,0.121646,,0.00131981,0.128032
0.00125153,0.118065,,0.00125153,0.141415,,0.00124348,0.117632,,0.00124348,0.141303,,0.00134981,0.123623,,0.00134981,0.11451
0.00128153,0.118782,,0.00128153,0.138654,,0.00127348,0.117903,,0.00127348,0.139885,,0.00137981,0.126507,,0.00137981,0.0969303
0.00131153,0.120919,,0.00131153,0.130982,,0.00130348,0.119166,,0.00130348,0.133513,,0.00140981,0.130552,,0.00140981,0.0759172
0.00134153,0.124888,,0.00134153,0.11867,,0.00133348,0.121594,,0.00133348,0.12241,,0.00143981,0.136255,,0.00143981,0.0522147
0.00137153,0.131737,,0.00137153,0.102154,,0.00136348,0.125476,,0.00136348,0.106971,,0.00146981,0.144455,,0.00146981,0.0266625
0.00140153,0.144677,,0.00140153,0.0820184,,0.00139348,0.131554,,0.00139348,0.0877425,,0.00148481,0.150084,,0.00148481,0.0134739
0.00143153,0.189077,,0.00143153,0.0589777,,0.00142348,0.141619,,0.00142348,0.0654057,,0.0015,0.157513,,0.0015,5.19574e-017
